,Date,GameID,Season,M/F,Team1,Team2,Score1,Score2,Player1Team1,Player2Team1,Player3Team1,Player4Team1,Player5Team1,Player6Team1,Player7Team1,Player8Team1,Player9Team1,Player10Team1,Player11Team1,Player12Team1,Player13Team1,Player14Team1Player1Team2,Player2Team2,Player3Team2,Player4Team2,Player5Team2,Player6Team2,Player7Team2,Player8Team2,Player9Team2,Player10Team2,Player11Team2,Player12Team2,Player13Team2,Player14Team2,Player14Team1,Player1Team2
201,2019/21/12,2065.0,2019/2020,F,VC Wiesbaden,Dresdner SC,1,3,Oud Nynke,Großer Tanja,Wilczek Natalie,Hetmann Selma Theresa,Welsch Laurenz,Vyklická Klara,Neuhaus Frauke,Wesser Julia,Dugan Shannon,Vedder Lena,Bjerland Renate,-,-,,Cyris Emma,Rolfzen Kadie,de Zwart Laura,Strubbe Monique,Keller Luisa,Stigrot Lena,Kapur Milorad,Kästner Pia,Radosova Nikola,Mrdak Ivana,King Brie Joy,Weitzel Camilla,Straube Sarah,-,Dürr Lenka
202,2020/02/09,1102.0,2019/2020,M,Helios GRIZZLYS Giesen,Volleyball Bisons Bühl,3,0,Ringseis Florian,Richards Jordan Benjamin,Gross Jasmine,Costa da Silva Paulo Victo,Kaminski Jonas,Stalekar Saso,Siirilä Tommi Juhani,Francös Pedro Henrique,Clere Jerome Claude Pierr,Duarte Souza Da Silva Do,Kronthaler Niklas,-,-,,Stöhr Tim,Thiel Stefan,Goralik Yannick,Maase Lukas,Vaskelis Edvinas,Petty Gregory,Roatta Sebastian,Lohmann Elisa,Schmidgall Mario,Qafarena Anton,Malcher Moritz,-,-,-,Szabó Alpár
203,2021/02/14,2111.0,2020/2021,F,NawaRo Straubing,USC Münster,3,0,Provaroni Claudia,Oiwoh Noemi Laureen,Ismaili Valbona,Norveel Kjersti,Kettenbach Elisabeth,Hölzig Annegret,Szaboova Sandra,Schweigmann Janna,Hänle Marie,Dreblow Sophie,Scholten Iris,-,-,,Nelson Taylor Kaera,Brinkmann Anika,Kastrup Liza,Korevaar Demi Johanna Marijke,Lambert Adeja,Barber Nele,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Kildau Erika,Kirchhoff Mia,-,-,-,Bock Linda
204,2019/10/23,1015.0,2019/2020,M,Netzhoppers KW-Bestensee,WWK Volleys Herrsching,3,1,Herr Luke Thomas A.,Jalowietzki Jan,Scholten Iris,Ofoha Uchenna,Erdmann Jonathan,Klooss Adrian Lennart,Westphal Dirk,Just Maximilian,Ratajczak Kamil,Timmermann Theo,-,-,-,,Peta Mircea Paul,Sagstetter Jonas,Krüger Merten,Halanda Tomas,Peemüller Richard,Prokopczuk Rafal,Brand Tobias,Jurkovics Mathäus,Hamzagic Irfan,Van der Ent Luuc,Knauer Marko Julian,Antony Carlos,Sagstetter Jonas,-,Filho Roosewelt
205,2021/02/13,2113.0,2020/2021,F,Ladies in Black Aachen,Allianz MTV Stuttgart,0,3,Hindriksen Mareike,Kicka Kristina,Haynes Madeline,Lavickyte Rugile,Sorbo Live,Poll Jana Franziska,Olimstad Emilie,Timmerman Eline,Löcker Maja,Herelova Nina,Cesar Annie,-,-,,Segura Palleres Maria,Lohuis Juliët,Jasper Hester,Grozer Dora,Rosenthal Jenna,Kästner Pia,Große Scharmann Lena,Papafotiou Athina,Rivers Krystal,Berger Lara,Mlejnkova Michaela,Todorova Mira,-,-,Koskelo Roosa
206,2021/02/13,1078.0,2020/2021,M,TSV Unterhaching,Netzhoppers KW-Bestensee,1,3,Suck Fabian,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Malcher Moritz,Paduretu Eric,,Weir James,Goralik Yannick,Jackson James,Klooss Adrian Lennart,Westphal Dirk,Allik Karli,Ratajczak Kamil,Timmermann Theo,Mönnich Johannes,Kovác Jakub,Gust Levin,Droszynsky Kamil,-,-,Jalowietzki Jan
207,2019/10/15,1009.0,2019/2020,M,BERLIN RECYCLING Volleys,Helios GRIZZLYS Giesen,3,0,Kowalski Adam,Ensing Kyle,Malcher Moritz,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Le Goff Nicolas,-,-,-,-,,No Match,Wagner Hauke,Mayaula Nzeza Magloire,No Match,Röling Jan,No Match,No Match,Schippmann Timon,No Match,Kvrzic Milan,Kapur Milorad,-,-,-,Petter Michelle
208,2021/01/31,1070.0,2020/2021,M,TSV Unterhaching,United Volleys Frankfurt,0,3,Suck Fabian,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Malcher Moritz,Paduretu Eric,,Tsuiki Satoshi,Baxpöhler Noah,Reinhardt Jonas,Schöps Jochen,Malescha Daniel,Günthör Jakob,Schmidgall Mario,Dervisaj Leon,Quiroga Rodrigo,Hüger Linus,-,-,-,-,Imhoff Facundo
209,2020/01/26,2083.0,2019/2020,F,SC Potsdam,VC Wiesbaden,1,3,Nichol Valerie,Wilczek Natalie,Abercrombie Brittany,Medic Sofija,Stautz Antonia,Escamilla Ana,Schulz Max,Grundt Lena,Hölzig Annegret,Imoudu Denise,Jegdic Aleksandra,-,-,,Großer Tanja,Wilczek Natalie,Hetmann Selma Theresa,Welsch Laurenz,Vyklická Klara,Neuhaus Frauke,Wesser Julia,Dugan Shannon,Vedder Lena,Bjerland Renate,Bock Linda,-,-,-,Oud Nynke
210,2019/11/30,1049.0,2019/2020,M,SVG Lüneburg,Helios GRIZZLYS Giesen,3,1,Koslowsky Tyler,van Solkema Gijs,Ronkainen Antti,Dervisaj Leon,Lindberg Viktor,Pörner Jannik,Brehme Anton,Scheerhoorn Blake,Krage Florian,Michelau Michael,Schlien Michel,-,-,,Wagner Hauke,No Match,No Match,Röling Jan,No Match,Busch Amelie,No Match,Schippmann Timon,No Match,Kvrzic Milan,Kapur Milorad,-,-,-,Petter Michelle
