,Date,GameID,Season,M/F,Team1,Team2,Score1,Score2,Player1Team1,Player2Team1,Player3Team1,Player4Team1,Player5Team1,Player6Team1,Player7Team1,Player8Team1,Player9Team1,Player10Team1,Player11Team1,Player12Team1,Player13Team1,Player14Team1Player1Team2,Player2Team2,Player3Team2,Player4Team2,Player5Team2,Player6Team2,Player7Team2,Player8Team2,Player9Team2,Player10Team2,Player11Team2,Player12Team2,Player13Team2,Player14Team2,Player14Team1,Player1Team2
236,2020/11/13,1214.0,2020/2021,M,VCO Berlin,Helios GRIZZLYS Giesen,0,3,Kersting Maximilian,Eckardt Moritz,Hosch Tobias,Frohberg Marco,Möller Onno,Röhrs Erik,Hoyer Julian,John Filip,Lind Jonas,Hüther Franz,Schulz Max,Just Maximilian,Reusch Johann,,Krüger Merten,van Tilburg Stijn,Wagner Hauke,Menner Anton,Mayaula Nzeza Magloire,Seybering David,Röling Jan,Hopt Jannis,Schippmann Timon,Kern Jacob,Kapur Milorad,-,-,-,Eshenko Pearson
237,2021/02/13,1204.0,2020/2021,M,WWK Volleys Herrsching,VCO Berlin,3,1,Ilic Dorde,Lembach Justus,Peter Tim,van der Ent Luuc Cornelius,Tille Johannes,Tille Ferdinand,Kaminski Jonas,Ferch Iven Fietje,Engelmann Linus,Welsch Laurenz,Mantha Jori Alexander,Penrose Jalen,-,,Eckardt Moritz,Hosch Tobias,Frohberg Marco,Möller Onno,Röhrs Erik,John Filip,Lind Jonas,Hüther Franz,Schulz Max,Reusch Johann,Breburda Jan,Brentel Jannik,-,-,Kersting Maximilian
238,2020/11/08,1025.0,2020/2021,M,United Volleys Frankfurt,TSV Unterhaching,3,0,Tsuiki Satoshi,Baxpöhler Noah,Schöps Jochen,Malescha Daniel,Günthör Jakob,Schmidgall Mario,Molzen Kjell Christian,Quiroga Rodrigo,Valkiers Matthias,Lauter Philipp,-,-,-,,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Paduretu Eric,Chefai Mohamed,-,-,Suck Fabian
239,2020/23/01,1084.0,2020/2021,M,BERLIN RECYCLING Volleys,Helios GRIZZLYS Giesen,3,1,Kowalski Adam,Ensing Kyle,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Le Goff Nicolas,-,,Richards Jordan Benjamin,Gross Jasmine,Costa da Silva Paulo Victo,Kaminski Jonas,Stalekar Saso,Siirilä Tommi Juhani,Francös Pedro Henrique,Clere Jerome Claude Pierr,Duarte Souza Da Silva Do,Kronthaler Niklas,Malescha Daniel,-,-,-,Ringseis Florian
240,2019/11/23,1045.0,2019/2020,M,Netzhoppers KW-Bestensee,Helios GRIZZLYS Giesen,3,2,Herr Luke Thomas A.,Jalowietzki Jan,Scholten Iris,Ofoha Uchenna,Erdmann Jonathan,Klooss Adrian Lennart,Westphal Dirk,Just Maximilian,Ratajczak Kamil,Timmermann Theo,Lambert Adeja,-,-,,No Match,Wagner Hauke,Mayaula Nzeza Magloire,No Match,Röling Jan,No Match,No Match,No Match,Schippmann Timon,No Match,Kvrzic Milan,Busch Amelie,Kapur Milorad,-,Petter Michelle
241,2019/10/23,1017.0,2019/2020,M,TSV Unterhaching,WWK Volleys Herrsching,2,3,Jarvis Jared,Petter Michelle,Dervisaj Leon,Nagel Friederich,Mönnich Johannes,Grozer Tim,Takagui Ana Tiemi,Weir James,Tille Johannes,Apfelbach Karl,-,-,-,,Peter Tim,Tille Johannes,Tille Ferdinand,Kaminski Jonas,van Werkhoven Mart,Mantha Jori Alexander,Penrose Jalen,Tuia Samuele,Sagstetter Benedikt,-,-,-,-,-,Dorde llic
242,2019/14/12,1059.0,2019/2020,M,VfB Friedrichshafen,BERLIN RECYCLING Volleys,2,3,Worsley Joseph,Kocian Tomas,Späth-Westerholt Thilo,Mote Nehemiah,Menner Anton,Balean Rares,Janouch Jakub,Juhkami Martti,Malescha Daniel,Günthör Jakob,Steuerwald Markus,Gjorgiev Nikola,-,,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Le Goff Nicolas,Pujol Pierre,-,-,-,-,Kowalski Adam
243,2020/12/12,2058.0,2020/2021,F,VfB Suhl LOTTO Thüringen,Schwarz-Weiß Erfurt,3,0,Harbin Danielle,Müller Sabrina,Meis Lisanne,Mohler Blake,Sunjic Jelena,de Zwart Laura,Steger Claudia,Lohmann Elisa,Pallag Agnes,-,-,-,-,,Kovac Sara,Reinisch Paula,Krause Sabrina,Petter Michelle,Lenz Sindy,Michel Tosi Victoria,Gross Jasmine,Barthel Meghan,Maase Rica,Cole Madelyn,-,-,-,-,Palmer Madeline
244,2020/11/07,1007.0,2020/2021,M,WWK Volleys Herrsching,VfB Friedrichshafen,1,3,Ilic Dorde,Lembach Justus,Peter Tim,van der Ent Luuc Cornelius,Tille Johannes,Tille Ferdinand,Kaminski Jonas,Ferch Iven Fietje,Welsch Laurenz,Mantha Jori Alexander,Penrose Jalen,-,-,,Mote Nehemiah,Lopez Tomas,Juhkami Martti,Balean Rares,van de Velde Arno,Vincic Dejan,Bonin Ben-Simon,Böhme Marcus,Weber Linus,Steuerwald Markus,Maase Lukas,Fiel Rodriguez David,Marechal Nicolas,-,Worsley Joseph
245,2021/02/06,2107.0,2020/2021,F,Dresdner SC,Ladies in Black Aachen,3,0,Dürr Lenka,Cyris Emma,Janiska Jennifer,Strubbe Monique,Hentz Morgan,Stigrot Lena,Storck Maja,Gray Jenna,Lieb Lina-Marie,Gates Madeleine,Weitzel Camilla,-,-,,Kicka Kristina,Haynes Madeline,Lavickyte Rugile,Sorbo Live,Poll Jana Franziska,Olimstad Emilie,Timmerman Eline,Herelova Nina,Cesar Annie,Schwertmann Leonie,-,-,-,-,Hindriksen Mareike
246,2021/01/09,1053.0,2020/2021,M,United Volleys Frankfurt,Netzhoppers KW-Bestensee,2,3,Imhoff Facundo,Tsuiki Satoshi,Urban Melf,Baxpöhler Noah,Reinhardt Jonas,Grozer Tim,Schöps Jochen,Malescha Daniel,Günthör Jakob,Schmidgall Mario,Dervisaj Leon,Quiroga Rodrigo,Valkiers Matthias,,Jalowietzki Jan,Weir James,Goralik Yannick,Jackson James,Klooss Adrian Lennart,Westphal Dirk,Allik Karli,Ratajczak Kamil,Timmermann Theo,Mönnich Johannes,Kovác Jakub,Gust Levin,-,-,Keturakis Byron
247,2021/01/23,2095.0,2020/2021,F,SSC Palmberg Schwerin,Ladies in Black Aachen,3,1,Szakmáry Greta,Stoltenborg Femke,Jatzko Romy,Pogany Anna,Nestler Patricia,Agost Taylor,Alsmeier Lina,Oude Luttikhuis Nicole,Spelman Hayley,Barfield Lauren,Imoudu Denise,Schölzel Marie,-,,Kicka Kristina,Haynes Madeline,Lavickyte Rugile,Sorbo Live,Poll Jana Franziska,Olimstad Emilie,Timmerman Eline,Herelova Nina,Cesar Annie,Schwertmann Leonie,-,-,-,-,Hindriksen Mareike
248,2019/12/14,2058.0,2019/2020,F,SSC Palmberg Schwerin,SC Potsdam,3,2,Szakmáry Greta,Barber Nele,Pogany Anna,Wong-Orantes Justine,Bongaerts Britt,Drewniok Kimberly,Oude Luttikhuis Nicole,Hanke Denise,Dumancic Beta,Barfield Lauren,Adams Mckenzie,Jatzko Romy,Schölzel Marie,,Wilczek Natalie,Abercrombie Brittany,Medic Sofija,Stautz Antonia,Escamilla Ana,Schulz Max,Grundt Lena,Hölzig Annegret,Imoudu Denise,Jegdic Aleksandra,Emonts Laura,-,-,-,Nichol Valerie
249,2020/02/26,2111.0,2019/2020,F,Dresdner SC,USC Münster,0,3,Dürr Lenka,Rolfzen Kadie,de Zwart Laura,Strubbe Monique,Keller Luisa,Stigrot Lena,Kapur Milorad,Kästner Pia,Radosova Nikola,King Brie Joy,-,-,-,,Nelson Taylor Kaera,Keller Luisa,Luther Doreen,Kastrup Liza,Korevaar Demi Johanna Marijke,Vanjak Ivana,Alsmeier Lina,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Reusch Johann,-,-,-,Bock Linda
250,2020/01/20,1076.0,2019/2020,M,Helios GRIZZLYS Giesen,WWK Volleys Herrsching,3,1,Ringseis Florian,Richards Jordan Benjamin,Gross Jasmine,Costa da Silva Paulo Victo,Kaminski Jonas,Stalekar Saso,Siirilä Tommi Juhani,Francös Pedro Henrique,Clere Jerome Claude Pierr,Duarte Souza Da Silva Do,Kronthaler Niklas,-,-,,Peter Tim,Tille Johannes,Tille Ferdinand,Kaminski Jonas,van Werkhoven Mart,Engelmann Linus,Mantha Jori Alexander,Penrose Jalen,Sagstetter Benedikt,-,-,-,-,-,Ilic Dorde
251,2019/11/24,1043.0,2019/2020,M,WWK Volleys Herrsching,BERLIN RECYCLING Volleys,0,3,Peta Mircea Paul,Sagstetter Jonas,Watanabe Shunsuke,Krüger Merten,Halanda Tomas,Peemüller Richard,Prokopczuk Rafal,Brand Tobias,Jurkovics Mathäus,Hamzagic Irfan,Van der Ent Luuc,-,-,,Ensing Kyle,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Le Goff Nicolas,Pujol Pierre,-,-,Kowalski Adam
252,2020/10/31,2028.0,2020/2021,F,Schwarz-Weiß Erfurt,VC Wiesbaden,3,2,Palmer Madeline,Kovac Sara,Reinisch Paula,Krause Sabrina,Petter Michelle,Stauß Mia Anna,Lenz Sindy,Michel Tosi Victoria,Gross Jasmine,Barthel Meghan,Maase Rica,-,-,,Wong-Orantes Justine,Hetmann Selma Theresa,Runjic Marijeta,Rodwald Laura,Vyklická Klara,Neuhaus Frauke,Evans Ashley,Vedder Lena,Wruck Anna,Bjerland Renate,Hötschl Paula,-,-,-,Schultz Pauline
253,2020/02/08,1099.0,2019/2020,M,SVG Lüneburg,BERLIN RECYCLING Volleys,0,3,Koslowsky Tyler,van Solkema Gijs,Ronkainen Antti,Dervisaj Leon,Lindberg Viktor,Pörner Jannik,Brehme Anton,Scheerhoorn Blake,Krage Florian,Michelau Michael,Schlien Michel,-,-,,Ensing Kyle,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Le Goff Nicolas,Pujol Pierre,-,-,Kowalski Adam
254,2019/10/18,1007.0,2019/2020,M,WWK Volleys Herrsching,United Volleys Frankfurt,1,3,Filho Roosewelt,Peta Mircea Paul,Sagstetter Jonas,Krüger Merten,Halanda Tomas,Peemüller Richard,Prokopczuk Rafal,Brand Tobias,Jurkovics Mathäus,Hamzagic Irfan,Van der Ent Luuc,Knauer Marko Julian,Antony Carlos,,Bann Blair,van Rekom Floris,Henning Paul,Engelmann Linus,Mrdak Milija,Brand Tobias,Schumann Philipp,Wolf Peter,Smith Luke,Valkiers Matthias,-,-,-,-,Toman Urban
255,2019/10/12,1003.0,2019/2020,M,Netzhoppers KW-Bestensee,BERLIN RECYCLING Volleys,1,3,Herr Luke Thomas A.,Jalowietzki Jan,Scholten Iris,Ofoha Uchenna,Erdmann Jonathan,Klooss Adrian Lennart,Westphal Dirk,Just Maximilian,Ratajczak Kamil,Timmermann Theo,-,-,-,,Ensing Kyle,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Le Goff Nicolas,Pujol Pierre,-,-,Kowalski Adam
256,2020/12/13,1040.0,2020/2021,M,TSV Unterhaching,WWK Volleys Herrsching,0,3,Suck Fabian,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Paduretu Eric,-,-,,Lembach Justus,Peter Tim,van der Ent Luuc Cornelius,Tille Johannes,Tille Ferdinand,Kaminski Jonas,Ferch Iven Fietje,Welsch Laurenz,Mantha Jori Alexander,Penrose Jalen,Wieczorek David Matthew,-,-,-,Ilic Dorde
257,2020/11/08,2079.0,2020/2021,F,SC Potsdam,Allianz MTV Stuttgart,0,3,Agbortabi Vanessa,Wilczek Natalie,Stautz Antonia,Speech Symone,Ruddins Lindsey,Veltman Kelsey,Jegdic Aleksandra,Flory Lindsay,Emonts Laura,-,-,-,-,,Segura Palleres Maria,Lohuis Juliët,Grundt Lena,Grozer Dora,Rosenthal Jenna,Kästner Pia,Große Scharmann Lena,Papafotiou Athina,Rivers Krystal,Berger Lara,Mlejnkova Michaela,Todorova Mira,-,-,Koskelo Roosa
258,2020/12/27,1049.0,2020/2021,M,SWD powervolleys DÜREN,BERLIN RECYCLING Volleys,2,3,Batanov Ivan,Broshog Tim,Schumann Philipp,Ireland Craig,Andrae Björn,Ernastowicz Marcin,Brand Tobias,Andrei Michael,Burggräf Eric,Gevert Sebastián,Van Berkel Lucas Joshua,Kühner Sebastian,Kocian Tomas,,Moraes Davy,Michelucci Renan,Brehme Anton,Carle Timothée,Zenger Julian,Kessel Cody,Patch Benjamin,Kaliberda Denys,Carbonera Éder,Pujol Pierre,-,-,-,-,Kowalski Adam
259,2020/12/12,1038.0,2020/2021,M,Helios GRIZZLYS Giesen,SVG Lüneburg,3,2,Eshenko Pearson,Krüger Merten,van Tilburg Stijn,Wagner Hauke,Menner Anton,Mayaula Nzeza Magloire,Seybering David,Röling Jan,Hopt Jannis,Schippmann Timon,Kern Jacob,-,-,,Ewert Jordan,Mohwinkel Theo,Lindberg Viktor,Pörner Jannik,Craft William,Gerken Hannes,Peemüller Richard,Solbrig Dalton,Krage Florian,Schlien Michel,Thole Konrad,-,-,-,Koslowsky Tyler
260,2019/12/21,1061.0,2019/2020,M,WWK Volleys Herrsching,Volleyball Bisons Bühl,3,0,Peta Mircea Paul,Watanabe Shunsuke,Krüger Merten,Halanda Tomas,Peemüller Richard,Prokopczuk Rafal,Brand Tobias,Jurkovics Mathäus,Hamzagic Irfan,Van der Ent Luuc,-,-,-,,Stöhr Tim,Thiel Stefan,Goralik Yannick,Maase Lukas,Vaskelis Edvinas,Petty Gregory,Roatta Sebastian,Lohmann Elisa,Schmidgall Mario,Qafarena Anton,Malcher Moritz,-,-,-,Szabó Alpár
261,2019/07/12,2053.0,Off-Season,F,VC Wiesbaden,SSC Palmberg Schwerin,0,3,Oud Nynke,Großer Tanja,Wilczek Natalie,Hetmann Selma Theresa,Welsch Laurenz,Vyklická Klara,Neuhaus Frauke,Wesser Julia,Dugan Shannon,Vedder Lena,Bjerland Renate,-,-,,Barber Nele,Pogany Anna,Wong-Orantes Justine,Bongaerts Britt,Drewniok Kimberly,Oude Luttikhuis Nicole,Hanke Denise,Dumancic Beta,Barfield Lauren,Jatzko Romy,Schölzel Marie,Ambrosius Lea,-,-,Szakmáry Greta
262,2020/29/02,2116.0,2020/2021,F,VfB Suhl LOTTO Thüringen,Ladies in Black Aachen,3,1,Patockova Tereza,Jasper Hester,Tauchert Sophie,Siebring Anniek,Watson Karis Elizabeth,Steger Claudia,Garski Jacqueline,Jacobson McKenzie,Jatzko Romy,Agost Taylor,-,-,-,,Divoux Aziliz,Thater Emily Grace,Blenckers Lynn,Polder Tessa,Jasper Hester,Olimstad Emilie,Malik Polina,Storck Maja,Hindriksen Mareike,Bernard Manon,-,-,-,-,Agbortabi Vanessa
263,2021/02/06,2106.0,2020/2021,F,Rote Raben Vilsbiburg,Schwarz-Weiß Erfurt,3,1,Dammer Simona,Keller Luisa,Brisebois Danielle,Hartl Lena,Glaab Corina,Schoot Myrthe Mathilde,Bock Josepha,Conaway Alexis,Haneline Kayla,Guilliams Jodie,-,-,-,,Palmer Madeline,Kovac Sara,Reinisch Paula,Krause Sabrina,Petter Michelle,Lenz Sindy,Michel Tosi Victoria,Gross Jasmine,Barthel Meghan,Maase Rica,Cole Madelyn,-,-,-,Grechanaia Anastasiia
264,2021/01/23,1063.0,2020/2021,M,Volleyball Bisons Bühl,Netzhoppers KW-Bestensee,1,3,Szabó Alpár,Stöhr Tim,Thiel Stefan,Gallas Simon,Aloisi Luciano,Vaskelis Edvinas,Henning Paul,Jurkovics Mathäus,Meier Leon,Ringseis Florian,-,-,-,,Jalowietzki Jan,Weir James,Goralik Yannick,Jackson James,Klooss Adrian Lennart,Westphal Dirk,Allik Karli,Ratajczak Kamil,Timmermann Theo,Mönnich Johannes,Kovác Jakub,Gust Levin,-,-,Keturakis Byron
265,2019/10/23,2016.0,2019/2020,F,SSC Palmberg Schwerin,Schwarz-Weiß Erfurt,3,1,Szakmáry Greta,Barber Nele,Pogany Anna,Wong-Orantes Justine,Bongaerts Britt,Drewniok Kimberly,Oude Luttikhuis Nicole,Hanke Denise,Dumancic Beta,Barfield Lauren,Adams Mckenzie,Jatzko Romy,Schölzel Marie,,Amaro Halli,Reinisch Paula,Krause Sabrina,Röling Jan,Lenz Sindy,Stauß Mia Anna,Brisebois Danielle,Maase Rica,Pettke Jennifer,Flory Lindsay,-,-,-,-,Sagardia Clarisa
266,2021/02/07,1211.0,2020/2021,M,VCO Berlin,SWD powervolleys DÜREN,0,3,Kersting Maximilian,Hosch Tobias,Frohberg Marco,Möller Onno,Röhrs Erik,Hoyer Julian,John Filip,Lind Jonas,Hüther Franz,Schulz Max,Just Maximilian,Reusch Johann,Breburda Jan,,Broshog Tim,Schumann Philipp,Bann Blair,Ireland Craig,Andrae Björn,Ernastowicz Marcin,Brand Tobias,Burggräf Eric,Gevert Sebastián,Van Berkel Lucas Joshua,Kocian Tomas,Deshane Jordan,-,-,Batanov Ivan
267,2020/02/22,2108.0,2019/2020,F,Rote Raben Vilsbiburg,NawaRo Straubing,3,1,Przybylak Daria,Nagy Eszter,Möller Onno,Glaab Corina,Scholten Iris,Valdez Pol Nelmaira Carol,Schoot Myrthe Mathilde,Bock Josepha,Ortiz Ruiz Neira Marina,Guilliams Jodie,-,-,-,,Stöhr Tim,Jatzko Romy,Lovo Steinsvag Oda,Turla Sofia,Ismaili Valbona,Wesser Julia,Große Scharmann Lena,Guilliams Jodie,Izquierdo-Mocasqui Lisa,Dreblow Sophie,Gryka Magdalena,-,-,-,Steen Knudsen Ragni
268,2020/01/15,2070.0,2019/2020,F,Ladies in Black Aachen,SSC Palmberg Schwerin,0,3,Agbortabi Vanessa,Divoux Aziliz,Thater Emily Grace,Blenckers Lynn,Polder Tessa,Jasper Hester,Olimstad Emilie,Malik Polina,Storck Maja,Hindriksen Mareike,-,-,-,,Barber Nele,Pogany Anna,Wong-Orantes Justine,Bongaerts Britt,Drewniok Kimberly,Oude Luttikhuis Nicole,Hanke Denise,Dumancic Beta,Barfield Lauren,Adams Mckenzie,Jatzko Romy,Schölzel Marie,Ambrosius Lea,-,Szakmáry Greta
269,2020/11/14,1019.0,2020/2021,M,BERLIN RECYCLING Volleys,Helios GRIZZLYS Giesen,3,0,Kowalski Adam,Moraes Davy,Michelucci Renan,Brehme Anton,Carle Timothée,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Carbonera Éder,-,-,-,,Krüger Merten,van Tilburg Stijn,Wagner Hauke,Menner Anton,Mayaula Nzeza Magloire,Seybering David,Röling Jan,Hopt Jannis,Schippmann Timon,Kern Jacob,Kapur Milorad,-,-,-,Eshenko Pearson
270,2019/10/13,1006.0,2019/2020,M,Helios GRIZZLYS Giesen,SVG Lüneburg,3,1,Ringseis Florian,Richards Jordan,Gross Jasmine,Costa da Silva Paulo Victo,Kaminski Jonas,Stalekar Saso,Siirilä Tommi Juhani,Staples Max William,Francös Pedro Henrique,Clere Jerome Claude Pierr,Duarte Souza Da Silva Do,Kronthaler Niklas,-,,Petter Michelle,Dervisaj Leon,Nagel Friederich,Mönnich Johannes,Barfield Lauren,Grozer Tim,Takagui Ana Tiemi,Weir James,Tille Johannes,Apfelbach Karl,Hopt Jannis,-,-,-,Jarvis Jared
271,2019/17/11,2041.0,2019/2020,F,VC Wiesbaden,Schwarz-Weiß Erfurt,3,2,Oud Nynke,Großer Tanja,Wilczek Natalie,Hetmann Selma Theresa,Welsch Laurenz,Vyklická Klara,Neuhaus Frauke,Wesser Julia,Dugan Shannon,Vedder Lena,Bjerland Renate,-,-,,Pickrell Cassidy,Amaro Halli,Reinisch Paula,Krause Sabrina,Petter Michelle,Lenz Sindy,Stauß Mia Anna,Brisebois Danielle,Maase Rica,Pettke Jennifer,Flory Lindsay,-,-,-,Sagardia Clarisa
272,2021/02/17,1079.0,2020/2021,M,BERLIN RECYCLING Volleys,SVG Lüneburg,3,2,Kowalski Adam,Le Roux Kevin,Moraes Davy,Michelucci Renan,Grankin Sergey,Baghdady Robin,Brehme Anton,Carle Timothée,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Carbonera Éder,,Ewert Jordan,van Solkema Gijs,Lindberg Viktor,Pörner Jannik,Craft William,Gerken Hannes,Peemüller Richard,Krage Florian,Schlien Michel,-,-,-,-,-,Koslowsky Tyler
273,2021/01/16,,2020/2021,F,Dresdner SC,USC Münster,3,0,Dürr Lenka,Cyris Emma,Janiska Jennifer,Strubbe Monique,Stigrot Lena,Storck Maja,Crittenden Naya,Gray Jenna,Lieb Lina-Marie,Gates Madeleine,Weitzel Camilla,-,-,,Nelson Taylor Kaera,Brinkmann Anika,Kastrup Liza,Korevaar Demi Johanna Marijke,Lambert Adeja,Barber Nele,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Lacerda Pereira Heloiza,Kirchhoff Mia,-,-,-,Bock Linda
274,2020/12/05,1034.0,2020/2021,M,SVG Lüneburg,BERLIN RECYCLING Volleys,0,3,Koslowsky Tyler,Ewert Jordan,Mohwinkel Theo,Lindberg Viktor,Pörner Jannik,Craft William,Gerken Hannes,Peemüller Richard,Solbrig Dalton,Krage Florian,Schlien Michel,-,-,,Moraes Davy,Michelucci Renan,Grankin Sergey,Brehme Anton,Carle Timothée,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Carbonera Éder,Pujol Pierre,-,-,-,Kowalski Adam
275,2020/01/18,2076.0,2019/2020,F,NawaRo Straubing,SC Potsdam,3,2,Steen Knudsen Ragni,Stöhr Tim,Lovo Steinsvag Oda,Ismaili Valbona,Wesser Julia,Große Scharmann Lena,Guilliams Jodie,Izquierdo-Mocasqui Lisa,Dreblow Sophie,-,-,-,-,,Wilczek Natalie,Abercrombie Brittany,Medic Sofija,Stautz Antonia,Escamilla Ana,Schulz Max,Grundt Lena,Hölzig Annegret,Imoudu Denise,Jegdic Aleksandra,Emonts Laura,-,-,-,Nichol Valerie
276,2020/10/10,2011.0,2020/2021,F,SC Potsdam,Ladies in Black Aachen,3,2,Agbortabi Vanessa,Wilczek Natalie,Abercrombie Brittany,Stautz Antonia,Speech Symone,Ruddins Lindsey,Veltman Kelsey,Jegdic Aleksandra,Flory Lindsay,Emonts Laura,-,-,-,,Kicka Kristina,Haynes Madeline,Lavickyte Rugile,Sorbo Live,Poll Jana Franziska,Olimstad Emilie,Timmerman Eline,Herelova Nina,Cesar Annie,Schwertmann Leonie,-,-,-,-,Hindriksen Mareike
277,2020/11/22,2037.0,2020/2021,F,SC Potsdam,USC Münster,3,0,Agbortabi Vanessa,Wilczek Natalie,Abercrombie Brittany,Stautz Antonia,Speech Symone,Ruddins Lindsey,Veltman Kelsey,Jegdic Aleksandra,Flory Lindsay,Emonts Laura,-,-,-,,Nelson Taylor Kaera,Brinkmann Anika,Kastrup Liza,Korevaar Demi Johanna Marijke,Lambert Adeja,Barber Nele,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Kildau Erika,Lacerda Pereira Heloiza,Mohr Pia,Kirchhoff Mia,-,Bock Linda
278,2021/02/20,1084.0,2020/2021,M,VC Wiesbaden,BERLIN RECYCLING Volleys,1,3,Jalowietzki Jan,Weir James,Goralik Yannick,Jackson James,Klooss Adrian Lennart,Westphal Dirk,Allik Karli,Ratajczak Kamil,Timmermann Theo,Mönnich Johannes,Kovác Jakub,Gust Levin,-,,Le Roux Kevin,Moraes Davy,Michelucci Renan,Grankin Sergey,Baghdady Robin,Brehme Anton,Carle Timothée,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Kaliberda Denys,Carbonera Éder,-,Kowalski Adam
279,2020/11/29,1030.0,2020/2021,M,TSV Unterhaching,SVG Lüneburg,1,3,Suck Fabian,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Severin,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Paduretu Eric,,Dervisaj Leon,Ewert Jordan,Lindberg Viktor,Pörner Jannik,Craft William,Gerken Hannes,Peemüller Richard,Solbrig Dalton,Krage Florian,Schlien Michel,Thole Konrad,-,-,-,Koslowsky Tyler
280,2020/02/22,1106.0,2019/2020,M,WWK Volleys Herrsching,WWK Volleys Herrsching,1,3,Filho Roosewelt,Sagstetter Jonas,Watanabe Shunsuke,Krüger Merten,Halanda Tomas,Peemüller Richard,Prokopczuk Rafal,Jurkovics Mathäus,Hamzagic Irfan,Van der Ent Luuc,-,-,-,,Peter Tim,Tille Johannes,Tille Ferdinand,Kaminski Jonas,van Werkhoven Mart,Engelmann Linus,Penrose Jalen,Sagstetter Benedikt,-,-,-,-,-,-,No Match
281,2019/11/09,2026.0,2019/2020,F,Dresdner SC,Schwarz-Weiß Erfurt,3,1,Dürr Lenka,Cyris Emma,Rolfzen Kadie,de Zwart Laura,Strubbe Monique,Keller Luisa,Stigrot Lena,Kapur Milorad,Kästner Pia,Radosova Nikola,Mrdak Ivana,King Brie Joy,Weitzel Camilla,,Pickrell Cassidy,Amaro Halli,Reinisch Paula,Krause Sabrina,Petter Michelle,Röling Jan,Lenz Sindy,Stauß Mia Anna,Brisebois Danielle,Maase Rica,Pettke Jennifer,Flory Lindsay,-,-,Sagardia Clarisa
282,2020/10/31,1013.0,2020/2021,M,Helios GRIZZLYS Giesen,TSV Unterhaching,3,0,Eshenko Pearson,Krüger Merten,van Tilburg Stijn,Wagner Hauke,Menner Anton,Mayaula Nzeza Magloire,Seybering David,Röling Jan,Hopt Jannis,Schippmann Timon,-,-,-,,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Severin,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Paduretu Eric,Chefai Mohamed,-,Suck Fabian
283,2020/02/22,2104.0,2019/2020,F,SSC Palmberg Schwerin,Dresdner SC,3,2,Szakmáry Greta,Barber Nele,Lohmann Elisa,Pogany Anna,Wong-Orantes Justine,Bongaerts Britt,Drewniok Kimberly,Oude Luttikhuis Nicole,Hanke Denise,Dumancic Beta,Barfield Lauren,Adams Mckenzie,Schölzel Marie,,von Römer Mareen,Rolfzen Kadie,de Zwart Laura,Strubbe Monique,Keller Luisa,Stigrot Lena,Kapur Milorad,Kästner Pia,Radosova Nikola,King Brie Joy,Straube Sarah,-,-,-,Dürr Lenka
